sgRNA	Gene	Rep_1_T0	Rep_1_UN	Rep_1_L20	Rep_1_LM	Rep_1_UM	Rep_1_T20	Rep_2_T0	Rep_2_UN	Rep_2_L20	Rep_2_LM	Rep_2_UM	Rep_2_T20
CSF1R_gRNA3	CSF1R	817383	804494	1010216	583194	1017610	879863	39515	35424	31701	41654	33921	34671
CDK2_gRNA2	CDK2	282755	280309	297072	254695	344305	328120	15065	14132	11652	16457	13448	12826
PTK2B_gRNA1	PTK2B	541207	602736	584136	443364	671370	633942	28116	27571	22682	31284	25851	28622
PLCG2_gRNA2	PLCG2	406523	517097	464054	339955	611247	544618	17957	17170	13724	20100	16130	19678
CDK2_gRNA3	CDK2	369149	373018	381332	325622	448479	440326	19328	18773	15629	21928	17831	20019
VHL_gRNA1	VHL	564420	550114	511553	573270	641722	576292	30735	28471	22251	34334	25668	22106
CHI3L1_gRNA1	CHI3L1	711727	765018	665102	596771	910203	757587	43046	42462	33958	48610	39374	45743
ADAM10_gRNA2	ADAM10	134005	125860	142878	132887	161420	177972	6960	6706	5625	7870	6180	6675
ABCA7_gRNA1	ABCA7	339986	352175	381648	297958	479018	344547	21388	21454	17728	23625	19653	23101
NCKAP1L_gRNA3	NCKAP1L	870959	1006031	979339	740105	1214917	969348	43828	41796	34269	50458	38791	36189
MS4A4A_gRNA1	MS4A4A	475154	527969	498626	436818	660318	615310	25800	25150	21088	29876	24941	29260
ABCA7_gRNA2	ABCA7	748908	721452	659692	587634	848315	835920	31785	31961	25985	36918	30054	36449
Intergenic_gRNA7	Intergenic	1627508	1683432	1572333	1418510	2017914	1985952	70760	71466	59621	82616	65756	76937
LRRK2_gRNA1	LRRK2	402278	426892	455605	334556	521955	520496	17626	17621	14399	21198	16715	17581
WASF2_gRNA3	WASF2	500021	525935	460750	419148	568445	507671	24809	24033	19312	28783	21634	19128
MS4A6A_gRNA1	MS4A6A	276453	360067	300868	225011	391728	346827	12256	11695	10022	14863	12332	12646
ABI3_gRNA2	ABI3	229041	250164	252109	229325	305680	296043	14618	14282	11802	16554	13317	15158
ABI1_gRNA2	ABI1	741668	746770	773843	783840	905721	850222	42719	43392	35770	50245	40377	45276
GBA_gRNA2	GBA	286817	297441	306724	303372	379607	338144	19163	18797	15512	23099	17723	19344
PLCG2_gRNA3	PLCG2	483055	495424	474157	385426	653036	646796	23074	22914	17946	24916	22375	27398
GBA_gRNA1	GBA	1027609	1014673	1002155	804238	1292104	1094660	32969	32984	28104	38601	30461	32482
CTSL_gRNA1	CTSL	218152	221933	234799	209824	267752	276942	11561	11094	9063	12691	10286	12266
PLCG2_gRNA1	PLCG2	654553	668710	625783	553475	769776	697258	28412	29042	23748	32432	27027	32547
CTSL_gRNA3	CTSL	1099982	1117863	1188042	1120639	1333426	1310222	44535	44140	35965	52095	41522	44089
CHI3L1_gRNA2	CHI3L1	386399	387486	404887	324295	501121	359202	17319	16561	13295	19592	15266	16846
TREM2_gRNA1	TREM2	389789	432128	320586	328313	567253	621708	16590	16512	10686	16896	17544	29487
MS4A6A_gRNA3	MS4A6A	562524	597692	659601	498097	774299	640458	24939	24426	20250	29283	22551	23781
MS4A6A_gRNA2	MS4A6A	386685	399702	442550	388378	445293	463061	18972	19092	15594	21904	17326	21055
Intergenic_gRNA2	Intergenic	529450	526860	453406	461339	643489	593777	26137	25166	21438	29960	23868	27892
ABI3_gRNA1	ABI3	515293	481199	476483	388953	569418	534859	27846	26923	22146	30757	25290	26927
CDK2_gRNA1	CDK2	634449	636725	685306	604249	748355	723750	34389	32531	26237	38894	30510	28254
VHL_gRNA3	VHL	353065	365206	365334	311122	424150	385649	19618	19503	15218	21304	16390	14809
NCKAP1L_gRNA2	NCKAP1L	419054	410257	395630	312395	503111	404942	21843	20925	17453	25355	20080	20959
C5AR1_gRNA2	C5AR1	232301	257498	245250	195215	315710	284294	9680	9323	7677	10767	8503	10464
LRRK2_gRNA3	LRRK2	391390	378692	328811	350114	440208	462214	19765	19201	15542	23270	17761	19601
ABI1_gRNA1	ABI1	460597	510172	436284	400085	538366	517843	26779	26534	21736	29687	23974	25555
Intergenic_gRNA1	Intergenic	669000	685768	713565	571339	791949	743564	31077	31221	25654	35258	28908	37328
Intergenic_gRNA6	Intergenic	790990	794522	795127	659947	970033	903868	39440	38049	31621	44367	35371	42894
MAPT_gRNA1	MAPT	223234	223013	219843	190751	247948	237100	10207	9738	8328	11688	9218	10630
ADAM10_gRNA1	ADAM10	451718	451151	451344	402116	534571	485132	21359	20330	16869	24287	18953	19974
MAPT_gRNA2	MAPT	242311	261868	250142	197776	284304	293964	11099	10956	8755	12309	9799	11115
INPP5D_gRNA2	INPP5D	404213	379821	364686	376701	420947	386170	21806	20695	18488	25512	18415	18973
LRP1_gRNA2	LRP1	527908	507368	500603	405680	566941	556872	26701	26700	22433	30957	24978	26297
C5AR1_gRNA3	C5AR1	431451	450957	448238	370893	492652	478005	19081	18135	15059	20914	16938	19279
PTK2B_gRNA2	PTK2B	190034	187526	199291	143963	209377	204045	7589	7903	6348	8817	7300	7147
Intergenic_gRNA4	Intergenic	610121	638893	649448	584180	767992	714281	29238	29326	23935	33834	26824	30970
ASCL1_gRNA3	ASCL1	570059	614342	629121	530097	728584	601845	28010	27534	22515	31994	26283	28949
ABI1_gRNA3	ABI1	630944	667127	673419	570683	819601	750888	27060	26880	21295	31367	24869	28057
CTSB_gRNA1	CTSB	184493	231691	246550	185867	277658	252467	15693	15771	12781	17634	14578	17689
CXCR4_gRNA1	CXCR4	445387	444727	472394	409034	545288	505711	22761	23398	18989	26571	22227	25633
TREM2_gRNA2	TREM2	275461	310382	309219	242601	477927	354594	13209	13157	9718	13879	12470	16248
